,name,id,text,retweet_count,like_count,created_at
60,nytimes,1599010625237225473,"If stability is what young workers are after, the strong job market is in a prime position to comply. For those entering the work force amid inflation, pandemic uncertainty and layoffs, they're expanding their job searches because of economic anxiety. https://t.co/OOrFwWcpzN",23,103,2022-12-03 12:00:15+00:00
61,nytimes,1599003523924082689,"Prince William and Princess Catherine of Wales made a whirlwind visit to Boston on Thursday — but swaths of the city were unimpressed. ""It makes sense, even centuries later, that Boston can’t care about the monarchy,"" a local historian said. https://t.co/oFtqKMoaH6",70,516,2022-12-03 11:32:02+00:00
62,nytimes,1598995504733589505,"If your idea of a winter vacation means trading snowmen for sand castles, it’s time to make your Caribbean escape.
Here are seven new hotels that will take you far from the snow and cold. https://t.co/Klj3WIWmJS",25,132,2022-12-03 11:00:10+00:00
63,nytimes,1598980878843236354,"Where did the royals find Prince George’s nanny? At Norland College, one of the oldest nanny schools in the world, where students learn how to shield strollers from paparazzi and fend off potential kidnappers. https://t.co/r6musW9VTM",34,165,2022-12-03 10:02:03+00:00
64,nytimes,1598966294132449281,"Having cold feet is pure misery. After trying nearly 40 pairs, here are the slippers @wirecutter recommends above all others. https://t.co/u7Q9D6jIT1",19,115,2022-12-03 09:04:06+00:00
65,nytimes,1598950673546190851,"Two Norwegians made songs with superfast tempos and high-pitched vocals for a school project. They were shocked to learn their ""nightcore"" sound had gone global with sped-up remixes on TikTok. https://t.co/7hlnjp9xF0",27,178,2022-12-03 08:02:02+00:00
66,nytimes,1598935109578661890,"Sam Bankman-Fried's claim that he ""didn't knowingly commingle funds"" might not protect him, said reporter @el72champs, a former criminal defense lawyer. Listen to our Space with @yaffebellany and @ravmattu on the #Dealbook interview with Bankman-Fried. https://t.co/i7c8lslmC3",19,95,2022-12-03 07:00:11+00:00
67,nytimes,1598920003650293760,"Many teens feel the weight of the world on their shoulders. The best gifts for them help them relax, recharge and have some fun. Here are @wirecutter's top recommendations. https://t.co/AXScAIZ34j",16,113,2022-12-03 06:00:10+00:00
68,nytimes,1598912939607687170,"RT @lydiadepillis: In case anyone on here is catching up on the jobs report like I am on Twitter, here's our final cut: https://t.co/zMDba2…",21,0,2022-12-03 05:32:05+00:00
69,nytimes,1598904897251983360,"Despite calls by President Biden and others on gun control while Democrats hold Congress, lawmakers engaged on the issue see little chance that there will be another serious gun debate this year in the aftermath of mass killings in Colorado and Virginia. https://t.co/50G4kjeWmt",37,128,2022-12-03 05:00:08+00:00
